"sede_localidad","sede_provincia","unidades","acceso","lat","lon","fuente"
"Santa Rosa","La Pampa",1,0.056,-36.6204011947334,-64.2906300356297,"gacetero"
"Sierra Grande","Río Negro",1,-0.06,-41.6054599449508,-65.3570237719529,"gacetero"
"Sinsacate","Córdoba",1,-0.162,-30.9429292725557,-64.0940329405365,"gacetero"
"Tandil","Buenos Aires",1,0.032,-37.3286954825526,-59.1368975569569,"gacetero"
"Tartagal","Salta",1,-0.144,-22.5168183262948,-63.8056049178567,"gacetero"
"Tigre","Buenos Aires",1,0.214,-34.4248130997973,-58.5755281971763,"gacetero"
"Tinogasta","Catamarca",1,-0.106,-28.0655616313794,-67.564368979148,"gacetero"
"Torres","Buenos Aires",1,0.311,-34.4309916604575,-59.1278642374609,"gacetero"
"Tunuyán","Mendoza",1,-0.222,-33.5812531556326,-69.0153685595424,"gacetero"
"Uspallata","Mendoza",1,-0.115,-32.5911328492886,-69.3478325007629,"gacetero"
"Villa Dolores","Córdoba",1,-0.08,-31.9449767629495,-65.1902396962461,"gacetero"
"Villa El Chocón","Neuquén",1,-0.035,-39.2615472701827,-68.7789277377405,"gacetero"
"Villa Maipú","Buenos Aires",1,0.322,-34.568894989108,-58.5244410540779,"gacetero"
"Villa Martelli","Buenos Aires",1,0.17,-34.5513042797618,-58.5066267194854,"gacetero"
"Villa Unión","La Rioja",1,0,-29.3165749850402,-68.2273993332811,"gacetero"
