"saf_id","n_adj","tipo","med_real","share_directa","min_ej","n_loc","med_km","presupuesto","estructura","dotacion","A_escala","A_directa","A_tipo","A_cohorte","A_anclaje","A_institucional","A_presupuesto","S_dotacion"
"121",220,"ciencia_universidad",5553485.88065292,0.463636363636364,2020,1,0,1090.683059,"administracion_descentralizada",39,"media","mixto","ciencia_universidad","2019_21","una_sede","administracion_descentralizada","bajo","1"
"173",54,"ciencia_universidad",7013708.42096481,0.462962962962963,2022,1,0,25143.370569,"administracion_descentralizada",173,"media","mixto","ciencia_universidad","2022plus","una_sede","administracion_descentralizada","medio","1"
"200",298,"administracion",50682201.9781478,0.248322147651007,2017,1,0,47591.817191,"administracion_descentralizada",2603,"grande","mixto","administracion","pre2019","una_sede","administracion_descentralizada","medio","3"
"201",629,"administracion",15620218.5230045,0.189189189189189,2017,1,0,42726.414394,"administracion_descentralizada",3990,"grande","mixto","administracion","pre2019","una_sede","administracion_descentralizada","medio","3"
"202",118,"administracion",4358877.97034002,0.838983050847458,2017,1,0,2354.812228,"administracion_descentralizada",NA,"media","mayoria_directa","administracion","pre2019","una_sede","administracion_descentralizada","bajo","sin_dato"
"203",152,"administracion",18478656.6478381,0.460526315789474,2018,1,0,8016.012837,"administracion_descentralizada",738,"grande","mixto","administracion","pre2019","una_sede","administracion_descentralizada","medio","2"
"205",354,"administracion",12689084.7240433,0.358757062146893,2016,1,0,5392.413291,"administracion_descentralizada",389,"grande","mixto","administracion","pre2019","una_sede","administracion_descentralizada","bajo","2"
"206",42,"administracion",6444250.78680842,0.904761904761905,2018,1,0,853.629587,"administracion_descentralizada",29,"media","mayoria_directa","administracion","pre2019","una_sede","administracion_descentralizada","bajo","1"
"207",374,"administracion",13250983.8105518,0.328877005347594,2017,1,0,22792.5656,"administracion_descentralizada",1349,"grande","mixto","administracion","pre2019","una_sede","administracion_descentralizada","medio","3"
"208",138,"administracion",9600000,0.623188405797101,2017,1,0,1278.060017,"administracion_descentralizada",NA,"grande","mayoria_directa","administracion","pre2019","una_sede","administracion_descentralizada","bajo","sin_dato"
