unidad_ejecutora_id,unidad_ejecutora_desc
355,Comisión de Promoción y Asistencia de los Centros de Desarrollo Infantil Comunitarios
357,Administración Nacional de Aviación Civil
360,Gerencia Productos y Servicios-Gcia. de Desempleo
361,Dirección Nacional de la Seguridad Operacional
362,Gerencia Técnica
363,Gerencia de Administración
364,Gerencia de Administración Central
365,Dirección Nacional de Servicios a la Navegación Aérea y Aeródromos
366,Gerencia de Asistencia Técnica
367,Gerencia de Asuntos Jurídicos
368,Gerencia de Control
369,Dirección General de Infraestructura y Servicios Aeroportuarios
370,Gerencia de Estudios
371,Gerencia de Finanzas y Administración
372,Gerencia de Gestión Tecnológica
373,Dirección Nacional de Transporte Aéreo
375,Gerencia de Planeamiento y Servicios Culturales
376,Subdirección de Prestaciones
377,Subdirección de Administración
378,Subdirección del Fondo de Garantía de Sustentabilidad del SIPA
379,Gerencia de Proyectos
380,Gerencia de Recursos Humanos
382,Centro Investigación Ciencias Veterinarias y Agronómicas
383,Gerencia de Tecnología
384,Estación Experimental Agropecuaria Famaillá
386,Estación Experimental Agropecuaria San Luis
387,Coordinación Programa de Asistencia en Áreas con Riesgo Sanitario - PROARSA
388,Coordinación Programa de Asistencia Solidaria - PROAS
389,Coordinación PAYS
390,Gerente Unidad Implementadora del Proyecto
391,Honorable Cámara de Diputados
392,Honorable Cámara de Senadores
394,Coordinación de Gestión
395,Centro de Investigaciones en Recursos Naturales
396,Imprenta del Congreso de la Nación
397,Inspección General de Justicia
399,Instituto de Ayuda Financiera para Pago de Retiros y Pensiones Militares
401,Centro de Investigaciones de Agroindustria
402,Estación Experimental Agropecuaria Chubut
403,Estación Experimental Agropecuaria Pergamino
404,Estación Experimental Agropecuaria San Pedro
405,Instituto Geográfico Militar
406,Instituto Nacional de Enfermedades Virales Humanas Dr. Julio Maiztegui
407,Estación Experimental Agropecuaria Delta
408,Instituto Nacional de Asociativismo y Economía Social (INAES)
409,Instituto Nacional de Alimentos
411,Instituto Nacional de Enfermedades Infecciosas Agudas
412,Instituto Nacional de Enfermedades Respiratorias Dr. Emilio Coni
413,Estación Experimental Agropecuaria Cerro Azul
414,Instituto Nacional de Epidemiología Dr. Juan H. Jara
415,Estación Experimental Agropecuaria La Rioja
416,Estación Experimental Agropecuaria Hilario Ascasubi
417,Instituto Nacional de Estadística y Censos
418,Instituto Nacional de Investigación y Desarrollo Pesquero
419,Instituto Nacional de Medicamentos
420,Instituto Nacional de Parasitología Dr. Mario Fatala Chaben
421,Instituto Nacional de Producción de Biológicos
422,Estación Experimental Agropecuaria Catamarca
423,Instituto Nacional de Semillas
424,Instituto Nacional de Vitivinicultura
425,Instituto Nacional de Tecnología Industrial
426,Estación Experimental Agropecuaria Marcos Juárez
427,Unidad de Extensión y Experimentación Adaptativa Leales
428,Instituto Nacional de la Administración Pública
430,Estación Experimental Agropecuaria Reconquista
431,Instituto Nacional del Agua
432,Instituto Nacional del Teatro
433,Estación Experimental Agropecuaria General Villegas
434,Estación Experimental Agropecuaria Bordenave
435,Instituto Nacional de Prevención Sísmica
439,Unidad de Coordinación de Programas y Proyectos con Enfoque Sectorial Amplio
440,Comisión Bicameral de Control de Fondos de la Seguridad Social
441,Dirección Nacional de Regulación Sanitaria y Calidad en los Servicios de Salud
443,Jefatura de Gabinete de Ministros
444,Jefatura de la Policía Federal Argentina
445,Jurado de Enjuiciamiento
446,Subdirección de Asuntos Internacionales
447,Comisión Nacional de Comunicaciones
448,Departamento Operatoria de Fronteras
450,"Museo Arg. de Cs. Nat. 'Bernardino Rivadavia',Inst. N. Inv. Cs. Na."
451,Obispado Castrense
452,Obra Social del Poder Judicial
455,Oficina Nacional de Presupuesto
456,Organismo Regulador de Seguridad de Presas
457,Organismo Regulador del Sistema Nacional de Aeropuertos
458,Gerencia de Área Aplicaciones de la Tecnología Nuclear
459,Órgano de Control de Concesiones Viales
461,Secretaría de Coordinación
464,Centro Nacional de Investigaciones Agropecuarias Castelar
465,Presidencia Instituto Nacional del Agua
467,Presidencia del Instituto Nacional de Asociativismo y Economía Social (INAES)
468,Presidencia del Servicio Geológico Minero Argentino
469,Presidencia y Directorio
470,Procuración General de la Nación
472,Procuración del Tesoro de la Nación
475,Programa Nacional de SIDA
476,Registro Nacional de las Personas
478,Estación Experimental Agropecuaria Abra Pampa
479,Subgerencia de Mantenimiento y Equipos
480,Subgerencia de Obras y Concesiones
481,Estación Experimental Agropecuaria Concepción del Uruguay
482,Estación Experimental Agropecuaria Concordia
483,Secretaría General
484,Estación Experimental Agropecuaria Corrientes
485,Secretaría Legal y Técnica
486,Estación Experimental Agropecuaria La Consulta
487,"Ministerio de Agricultura, Ganadería y Pesca"
488,Estación Experimental Agropecuaria Leales
490,Estación Experimental Agropecuaria San Juan
492,Subsecretaría de Agroindustria y Mercados
494,Secretaría de Comunicaciones
495,Unidad de Planeamiento Estratégico y Evaluación de la Educación Argentina
496,Unidad Ejecutora de Ingreso Social con Trabajo
497,Unidad Ejecutora (BIRF 7520)
498,Secretaría de Cultura
500,Secretaría de Empleo
501,Secretaría de Energía
502,Secretaría de Hacienda
503,Secretaría de Industria
504,Secretaría de Inteligencia
505,Secretaría de Jurisprudencia
506,Dirección Nacional de Crédito Fiscal y Capacitación Federal
507,Secretaría de Obras Públicas
509,Subsecretaría de Energía
510,Subsecretaría de Combustibles
512,Secretaría de Política y Regulación Sanitaria
513,Subsecretaría de Desarrollo Urbano y Vivienda
514,Subsecretaría de Puertos y Vías Navegables
515,Subsecretaría de Transporte Ferroviario
516,Subsecretaría de Transporte  Automotor
517,Comisión Bicameral de Fiscalización - Ley Nº 26.122
518,Secretaría de Atención Sanitaria
520,Subsecretaría de Coordinación
521,Subsecretaría de Agricultura
522,Secretaría de Seguridad Interior
523,Secretaría de Seguridad Social
524,Secretaría de Trabajo
525,Secretaría de Transporte
527,Subsecretaría de Pesca y Acuicultura
528,Secretaría de la Pequeña y Mediana Empresa
529,Subsecretaría de Lechería
530,Subsecretaría de Ganadería
531,Secretaría de Desarrollo Rural y Agricultura Familiar
532,"Unidad de Ministro del Ministerio de Agricultura, Ganadería y Pesca"
533,Subsecretaría de Agricultura Familiar
534,Secretaría de Relaciones Institucionales
