"uoc_id","f1","f2","f3","masa","saf_id","A_juris","sede_provincia","anclado","A_tipo","A_rango","A_antiguedad","A_presupuesto","N_tamano","N_distribuido","n_sup","acceso","contenido","unidad_dim1","unidad_dim2"
"121|494 - Área de Compras y Contrataciones",0.6908126657504,0.0984027378720311,0.530551092174768,0.00135427952329361,121,"CABA","CABA","programatico","ciencia_universidad","descentralizada","medio","bajo","media","una_sede",88,0.409385347848578,-0.192177855719197,1.24613370902178,0.348903122853277
"173|143/000 - AGENCIA NACIONAL DE PROMOCIÓN DE LA INVESTIGACIÓN; EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN",0.631477163462411,-0.486045303309781,0.79633186039665,0.000332414064808431,173,"CABA","CABA","programatico","ciencia_universidad","descentralizada","medio","medio","chica","una_sede",31,0.287921317196677,-0.0472047993932775,1.06415945329933,-0.216225207115184
"200|78/000 - División Compras",0.824880450995906,-0.711223554008161,1.55596946075546,0.00182827735644637,200,"CABA","CABA","programatico","administracion","descentralizada","antiguo","alto","media","una_sede",140,0.516019919901833,-0.065765730051111,0.697046960598912,0.000777885087924604
"201|21/000 - Dirección General de Administración - DNM",0.584040342737599,-0.446400109273314,0.90667837991949,0.0038350733773269,201,"CABA","CABA","anclado","administracion","descentralizada","antiguo","medio","grande","una_sede",283,0.230957336350292,-0.11104149724848,0.986713801595043,-0.458773171000015
"202|182 - Departamento de Compras y Contrataciones- INADI",0.683633911985994,-0.628411686409948,0.834141245117214,0.000726386289766572,202,"CABA","CABA","programatico","administracion","descentralizada","medio","bajo","media","una_sede",83,0.163011390406821,-0.0750310525025556,1.39221761425174,0.108307519033845
"203|313/00 - AGENCIA NACIONAL DE SEGURIDAD VIAL - DEP. DE COMPRAS",0.446580200068599,-0.396010364664501,0.744971924630858,0.000935684034275584,203,"CABA","CABA","programatico","administracion","descentralizada","reciente","medio","media","una_sede",87,0.344942753306706,-0.158588377366415,1.43779851837461,-0.0196159515733572
"205|392/000 - Dirección General de Administración - AABE",0.507805001645716,-0.584054430896254,0.880900492856833,0.00176671919629666,205,"CABA","CABA","programatico","administracion","descentralizada","reciente","bajo","media","una_sede",163,0.248704149068934,-0.0859241901426452,1.61977277409705,0.545512378395103
"206|408 - Centro Internacional - CIPDH",1.04633393639578,-0.850998971042074,2.19628351773373,0.00025854427262878,206,"CABA","CABA","programatico","administracion","descentralizada","reciente","bajo","chica","una_sede",26,0.227398338102495,0.145404911324474,1.47995175322733,0.537896625130039
"207|454/000 - Subdirección de Compras y Contrataciones",0.654809244354185,-0.511412935346548,0.973413191983024,0.00227765192553925,207,"CABA","CABA","programatico","administracion","descentralizada","reciente","medio","media","una_sede",207,0.377685207438321,-0.0509649101509502,1.43779851837461,-0.0196159515733572
"208|466/000 - Dirección Nacional de Administración",0.368160422523597,-0.320681005947527,0.604925226716934,0.00084950261006599,208,"CABA","CABA","programatico","administracion","descentralizada","medio","bajo","media","una_sede",97,0.274878305866272,-0.370484892578604,1.39221761425174,0.108307519033845
