"organismo","n_adj","tipo","anclaje_flag","med_real","share_directa","min_ej","n_loc","med_km","n_geo","A_escala","A_directa","A_tipo","A_cohorte","A_anclaje","A_alcance"
"910 - Instituto Nacional de Rehabilitación Psicofísica del Sur DR. Juan otimio Tessone",114,"salud_social",FALSE,2346857.68923499,0.745614035087719,2018,1,386.322385325894,113,"chica","mayoria_directa","salud_social","pre2019","bajo","largo"
"910 - Instituto Nacional de Rehabilitación Psicofísica del Sur Dr. Juan Otimio Tesone",660,"salud_social",FALSE,1783854.36354018,0.472727272727273,2020,1,386.322385325894,658,"chica","mixto","salud_social","2019_21","bajo","largo"
"911 - Instituto Nacional de Servicios Sociales para Jubilados y Pensionados - INSSJP",28,"salud_social",FALSE,3520661.80871374,1,2019,2,0,26,"chica","mayoria_directa","salud_social","2019_21","alto","corto"
"914 - Superintendecia de Servicios de Salud",129,"salud_social",FALSE,3785897.66580938,0.689922480620155,2017,1,0,125,"chica","mayoria_directa","salud_social","pre2019","bajo","corto"
"914 - Superintendencia de Servicios de Salud",293,"salud_social",FALSE,8400000,0.617747440273038,2020,1,0,289,"media","mayoria_directa","salud_social","2019_21","bajo","corto"
"915 - Instituto Nacional del Cáncer",35,"salud_social",FALSE,7839463.34984054,0.571428571428571,2018,1,0,35,"media","mayoria_directa","salud_social","pre2019","bajo","corto"
"916 - Agencia Nacional de Laboratorios Públicos",4,"salud_social",FALSE,14392451.621244,0.5,2018,1,0,3,"grande","mixto","salud_social","pre2019","bajo","corto"
"917 - Agencia Nacional de Discapacidad",200,"salud_social",FALSE,12751049.1409989,0.215,2018,1,0,199,"grande","mixto","salud_social","pre2019","bajo","corto"
"918 - Instituto Nacional de las Mujeres",3,"salud_social",FALSE,576266.105127201,0,2018,1,0,3,"chica","sin_directa","salud_social","pre2019","bajo","corto"
"9196 - Dirección de Obra Social del Servicio Penitenciario Federal",28,"seguridad_defensa",FALSE,1422628.05469189,0.964285714285714,2019,1,0,28,"chica","mayoria_directa","seguridad_defensa","2019_21","bajo","corto"
