"uoc_id","saf_id","sede_provincia","tipo","rubro_modal","anclado","n_adj","n_sup","acceso","contenido","uA1","uA2","n_sedes","N_distribuido","N_tamano","N_juris","N_fundacion","N_rango","N_presupuesto","S_escala","S_directa"
"381|40/014 - UOC DPTO CDR",381,"CABA","seguridad_defensa","ALIMENTOS",TRUE,1379,394,0.202499797356137,-0.590040500932491,-0.292042400663355,-0.441960436091038,11,"distribuido","grande","CABA","antiguo","desconcentrada","alto","grande","mixto"
"381|40/016 - AREA MATERIAL QUILMES",381,"Buenos Aires","seguridad_defensa","FERRETERIA",TRUE,735,242,0.0379208203670091,-0.650865843214865,-0.605883031352542,-0.360668290479643,11,"distribuido","grande","Buenos Aires","antiguo","desconcentrada","alto","media","mayoria_directa"
"381|40/017 - I BRIGADA AEREA PALOMAR",381,"Buenos Aires","seguridad_defensa","ALIMENTOS",TRUE,399,170,-0.00163879088940575,-0.725273032433294,-0.605883031352542,-0.360668290479643,11,"distribuido","grande","Buenos Aires","antiguo","desconcentrada","alto","media","mayoria_directa"
"381|40/018 - UOC PAR",381,"CABA","seguridad_defensa","ELECTRICIDAD Y TELEFONIA",TRUE,634,248,-0.0615500605333596,-0.654388552078867,-0.292042400663355,-0.441960436091038,11,"distribuido","grande","CABA","antiguo","desconcentrada","alto","media","mayoria_directa"
"381|40/019 - UOC  RTA",381,"CABA","seguridad_defensa","FERRETERIA",TRUE,567,193,-0.132266456081564,-0.638243520013181,-0.292042400663355,-0.441960436091038,11,"distribuido","grande","CABA","antiguo","desconcentrada","alto","chica","mayoria_directa"
"381|40/020 - UOC DOZ",381,"CABA","seguridad_defensa","ELECTRICIDAD Y TELEFONIA",TRUE,451,151,0.0349972480443453,-0.689684348817242,-0.292042400663355,-0.441960436091038,11,"distribuido","grande","CABA","antiguo","desconcentrada","alto","chica","mayoria_directa"
"381|40/021 - UOC RYD",381,"CABA","seguridad_defensa","CARPINTERIA",TRUE,511,176,-0.0651056501390965,-0.628677112993236,-0.292042400663355,-0.441960436091038,11,"distribuido","grande","CABA","antiguo","desconcentrada","alto","chica","mayoria_directa"
"381|40/022 - UOC DIL",381,"CABA","seguridad_defensa","BAZAR Y MENAJE",TRUE,591,206,-0.0737560023506793,-0.600507177192504,-0.292042400663355,-0.441960436091038,11,"distribuido","grande","CABA","antiguo","desconcentrada","alto","chica","mayoria_directa"
"381|40/023 - DIVISIÓN CONTRATACIONES MORENO",381,"Buenos Aires","seguridad_defensa","CERRAJERIA",TRUE,65,54,0.0656543918662016,-0.756944526843852,-0.673651968322864,-0.0330991280139174,11,"distribuido","chica","Buenos Aires","antiguo","desconcentrada","alto","chica","mixto"
"381|40/023 - VII BRIGADA AEREA MORENO",381,"Buenos Aires","seguridad_defensa","ALIMENTOS",TRUE,216,100,0.0493792860553206,-0.67543809747229,-0.581807761422286,-0.124308131921233,11,"distribuido","media","Buenos Aires","antiguo","desconcentrada","alto","media","mixto"
"381|40/024 - UOC CRV",381,"CABA","seguridad_defensa","ELECTRICIDAD Y TELEFONIA",TRUE,838,230,-0.0191666069009113,-0.677859144225086,-0.292042400663355,-0.441960436091038,11,"distribuido","grande","CABA","antiguo","desconcentrada","alto","chica","mayoria_directa"
"381|40/026 - DIRECCION DE VIGILANCIA Y CONTROL DEL AEROESPACIO",381,"Buenos Aires","seguridad_defensa","REPUESTOS",TRUE,264,144,-0.00400305226240709,-0.731568435545786,-0.581807761422286,-0.124308131921233,11,"distribuido","media","Buenos Aires","antiguo","desconcentrada","alto","media","mayoria_directa"
"381|40/028 - AREA DE MATERIAL RIO IV",381,"Córdoba","seguridad_defensa","ELECTRICIDAD Y TELEFONIA",TRUE,838,280,-0.0436194557487735,-0.591961229973069,-0.471926831376419,-0.304186126192194,11,"distribuido","grande","Córdoba","antiguo","desconcentrada","alto","media","mixto"
"381|40/030 - UOC LADE",381,"CABA","seguridad_defensa","ALIMENTOS",TRUE,369,142,0.204270116066808,-0.667123995371824,-0.267967130733099,-0.205600277532628,11,"distribuido","media","CABA","antiguo","desconcentrada","alto","grande","mixto"
"381|40/031 - OUC INFRA",381,"CABA","seguridad_defensa","MANT. REPARACION Y LIMPIEZA",TRUE,85,57,0.164373049042607,-0.562731164537137,-0.359811337633677,-0.114391273625312,11,"distribuido","chica","CABA","antiguo","desconcentrada","alto","chica","mayoria_directa"
"381|40/032 - AREA LOGISTICA PALOMAR",381,"Buenos Aires","seguridad_defensa","ELECTRICIDAD Y TELEFONIA",TRUE,495,196,0.0162921894089029,-0.729890987044675,-0.605883031352542,-0.360668290479643,11,"distribuido","grande","Buenos Aires","antiguo","desconcentrada","alto","chica","mixto"
"381|40/035 - UOC BASMAR",381,"Buenos Aires","seguridad_defensa","ALIMENTOS",TRUE,599,174,-0.101896603990625,-0.671289958057307,-0.605883031352542,-0.360668290479643,11,"distribuido","grande","Buenos Aires","antiguo","desconcentrada","alto","chica","mayoria_directa"
"381|40/037 - INSTITUTO DE FORMACION EZEIZA",381,"Buenos Aires","seguridad_defensa","ALIMENTOS",TRUE,322,135,0.115463208518718,-0.696684715642273,-0.581807761422286,-0.124308131921233,11,"distribuido","media","Buenos Aires","antiguo","desconcentrada","alto","grande","mayoria_directa"
"381|40/039 - UOC DPTO CDR",381,"CABA","seguridad_defensa","PROD. MEDICO/FARMACEUTICOS/LAB",TRUE,1171,392,0.282727252002688,-0.523409098153082,-0.292042400663355,-0.441960436091038,11,"distribuido","grande","CABA","antiguo","desconcentrada","alto","grande","mixto"
"381|40/043 - LICEO AERONAUTICO MILITAR",381,"Córdoba","seguridad_defensa","ALIMENTOS",TRUE,234,107,-0.0940287937901684,-0.633229282953409,-0.447851561446162,-0.067825967633785,11,"distribuido","media","Córdoba","antiguo","desconcentrada","alto","media","mayoria_directa"
"381|40/045 - UOC PAL",381,"Buenos Aires","seguridad_defensa","ALIMENTOS",TRUE,439,210,0.141569093659755,-0.674615421809488,-0.605883031352542,-0.360668290479643,11,"distribuido","grande","Buenos Aires","antiguo","desconcentrada","alto","chica","mayoria_directa"
"381|40/11 - UOC DPTO CDR",381,"CABA","seguridad_defensa","INDUMENT TEXTIL Y CONFECCIONES",TRUE,172,106,0.205724386935461,-0.53334860253695,-0.267967130733099,-0.205600277532628,11,"distribuido","media","CABA","antiguo","desconcentrada","alto","media","mixto"
"381|40/34 - Base Aérea Militar Río Gallegos",381,"Santa Cruz","seguridad_defensa","ELECTRICIDAD Y TELEFONIA",TRUE,326,136,-0.0829235881717628,-0.665416454570602,-0.447851561446162,-0.067825967633785,11,"distribuido","media","Santa Cruz","antiguo","desconcentrada","alto","chica","mayoria_directa"
"381|40/9 - por Base Aérea Militar Resistencia",381,"Chaco","seguridad_defensa","ELECTRICIDAD Y TELEFONIA",TRUE,572,192,-0.0283748820656453,-0.666823632906309,-0.471926831376419,-0.304186126192194,11,"distribuido","grande","Chaco","antiguo","desconcentrada","alto","media","mixto"
"381|Departamento Contrataciones Córdoba - UOC 40/47",381,"Córdoba","seguridad_defensa","ALIMENTOS",TRUE,1163,325,-0.00932213236931632,-0.617074290982483,-0.471926831376419,-0.304186126192194,11,"distribuido","grande","Córdoba","antiguo","desconcentrada","alto","media","mayoria_directa"
