"uoc_id","saf_id","A_juris","n_sup","acceso","contenido","unidad_dim1","unidad_dim2","unidad_dim3"
"371|84/122 - DISTRITO ELECTORAL - CORDOBA",371,"Córdoba",40,0.12161730050781,-0.633972693524154,-0.151523033295255,-0.363195301599062,-0.312506704372872
"371|84/123 - DISTRITO ELECTORAL - CORRIENTES",371,"Corrientes",39,0.106122911372141,-0.71314127662008,-0.320564142750144,-0.888291221663983,-0.567825718887626
"371|84/124 - DISTRITO ELECTORAL - ENTRE RIOS",371,"Entre Ríos",32,0.0869150477817437,-0.656156545300598,-0.25500614233464,-0.844002743902753,-0.379211035707201
"371|84/126 - SUBDISTRITO ELECTORAL TIGRE",371,"Buenos Aires",28,0.213983769698457,-0.712826178497248,-0.395646261663986,-0.852874437488863,-0.402484631673148
"371|84/127 - SUBDISTRITO ELECTORAL BAHIA BLANCA",371,"Buenos Aires",24,-0.00264334891768552,-0.533245957879548,-0.395646261663986,-0.852874437488863,-0.402484631673148
"372|36 - Departamento de Compras y Contrataciones - CITEDEF",372,"Buenos Aires",89,0.169785697033085,-0.458576332117417,0.684464678959071,0.216872814522208,1.04015656866387
"374|84/03 - Comando de la 1ra División de Ejército",374,"CABA",163,-0.0230583393615119,-0.761698096062848,-0.472209394335566,-0.27076592311096,-0.439466335500753
"374|84/04 - Comando de la 2da División de Ejército",374,"Santa Fe",107,-0.00233882972730571,-0.695395332436233,-0.506747874706889,0.052067276727647,-0.319776540017424
"374|84/05 - Comando de la 3ra División de Ejército",374,"Entre Ríos",80,0.0324214600806572,-0.691935249326288,-0.336178636117294,-0.150242709389777,-0.410235422978623
"374|84/06 - Dirección General de Salud",374,"CABA",195,0.356013589329912,-0.500740167810755,-0.198157046706587,0.00773153307530659,-0.463220887127624
"374|84/07 - Dirección de Aviación de Ejercito - Ejercito Argentino",374,"Buenos Aires",284,0.190679835527914,-0.666877529210254,-0.647387994036235,0.0431955831415367,-0.343050135983371
"374|84/08 - Hospital General 602 Campo de Mayo",374,"Buenos Aires",178,0.270528519630283,-0.611625484468648,-0.373335646407255,0.321693039327803,-0.366804687610242
"374|84/11 - Liceo Militar General San Martin",374,"CABA",150,0.0130742552703548,-0.749010229787042,-0.303168284880677,0.254329996953961,-0.184147320986
"374|84/12 - Dirección de Ingenieros e Infraestructura",374,"CABA",129,0.273603430872918,-0.574361793246553,-0.0946739376672017,0.488538975378997,-0.396516555793295
"374|84/128 - Dirección General de Intendencia",374,"CABA",131,0.279426177000229,-0.658254458375201,-0.0946739376672017,0.488538975378997,-0.396516555793295
"374|84/129 - Dirección de Arsenales",374,"Buenos Aires",222,0.132694481644328,-0.712272659435979,-0.581829993620731,0.0874840609027673,-0.154435452802946
"374|84/13 - Dirección de Remonta y Veterinaria",374,"CABA",381,0.126541775291739,-0.559599252090959,-0.0946739376672017,0.488538975378997,-0.396516555793295
"374|84/134 - Comando de Adiestramiento y Alistamiento",374,"Buenos Aires",275,0.0536896497395262,-0.783469538290237,-0.647387994036235,0.0431955831415367,-0.343050135983371
"374|84/135 - Dirección General de Material",374,"CABA",215,0.220271959217144,-0.644603369309867,-0.368726285296181,0.210041519192731,-0.372762004166424
"374|84/136 COMANDO GUARNICIÓN MILITAR BUENOS AIRES",374,"CABA",134,0.0578808341604913,-0.790032811010608,-0.368726285296181,0.210041519192731,-0.372762004166424
"374|84/138 - Comando de la Fuerza de Despliegue Rápido",374,"Buenos Aires",96,0.0355289008979096,-0.746205555460687,-0.581829993620731,0.0874840609027673,-0.154435452802946
"374|84/140 - Comando de Brigada de Monte III",374,"Chaco",175,-0.0467175500552491,-0.767255784950119,-0.441189874291385,0.0963557544888776,-0.131161856836999
"374|84/141 - Jefatura Agrupación de Ingenieros 601",374,"Buenos Aires",62,0.121899701040871,-0.761145331611173,-0.787209014905951,0.0355798298764731,0.0623856114941707
